page,bbox_x0,bbox_top,bbox_x1,bbox_bottom,tentang,tipe_regional,kelas_rs,tipe_rs,rawat_jalan,NO,KODE INA-CBG,DESKRIPSI KODE INA-CBG,TARIF KELAS 3,TARIF KELAS 2,TARIF KELAS 1
120,50.0,106.0,535.0,779.4,-120- TARIF INA-CBG REGIONAL 1 RUMAH SAKIT KELAS B PEMERINTAH RAWAT INAP,,,,,1,A-4-10-I,SEPTIKEMIA (RINGAN),2.858.000,3.329.500,3.801.100
120,50.0,106.0,535.0,779.4,-120- TARIF INA-CBG REGIONAL 1 RUMAH SAKIT KELAS B PEMERINTAH RAWAT INAP,,,,,2,A-4-10-II,SEPTIKEMIA (SEDANG),4.800.500,5.592.500,6.384.600
120,50.0,106.0,535.0,779.4,-120- TARIF INA-CBG REGIONAL 1 RUMAH SAKIT KELAS B PEMERINTAH RAWAT INAP,,,,,3,A-4-10-III,SEPTIKEMIA (BERAT),6.536.700,7.615.200,8.693.800
120,50.0,106.0,535.0,779.4,-120- TARIF INA-CBG REGIONAL 1 RUMAH SAKIT KELAS B PEMERINTAH RAWAT INAP,,,,,4,A-4-11-I,INFEKSI SESUDAH OPERASI & TRAUMA (RINGAN),3.796.200,4.422.500,5.048.900
120,50.0,106.0,535.0,779.4,-120- TARIF INA-CBG REGIONAL 1 RUMAH SAKIT KELAS B PEMERINTAH RAWAT INAP,,,,,5,A-4-11-II,INFEKSI SESUDAH OPERASI & TRAUMA (SEDANG),4.991.100,5.814.600,6.638.200
120,50.0,106.0,535.0,779.4,-120- TARIF INA-CBG REGIONAL 1 RUMAH SAKIT KELAS B PEMERINTAH RAWAT INAP,,,,,6,A-4-11-III,INFEKSI SESUDAH OPERASI & TRAUMA (BERAT),6.631.100,7.725.200,8.819.400
120,50.0,106.0,535.0,779.4,-120- TARIF INA-CBG REGIONAL 1 RUMAH SAKIT KELAS B PEMERINTAH RAWAT INAP,,,,,7,A-4-12-I,DEMAM YANG TIDAK DITENTUKAN (RINGAN),2.697.300,3.142.400,3.587.400
120,50.0,106.0,535.0,779.4,-120- TARIF INA-CBG REGIONAL 1 RUMAH SAKIT KELAS B PEMERINTAH RAWAT INAP,,,,,8,A-4-12-II,DEMAM YANG TIDAK DITENTUKAN (SEDANG),3.359.100,3.913.300,4.467.500
120,50.0,106.0,535.0,779.4,-120- TARIF INA-CBG REGIONAL 1 RUMAH SAKIT KELAS B PEMERINTAH RAWAT INAP,,,,,9,A-4-12-III,DEMAM YANG TIDAK DITENTUKAN (BERAT),3.695.900,4.305.700,4.915.600
120,50.0,106.0,535.0,779.4,-120- TARIF INA-CBG REGIONAL 1 RUMAH SAKIT KELAS B PEMERINTAH RAWAT INAP,,,,,10,A-4-13-I,INFEKSI VIRAL & NON-BAKTERIAL LAIN (RINGAN),2.135.900,2.488.300,2.840.800
