page,bbox_x0,bbox_top,bbox_x1,bbox_bottom,tentang,tipe_regional,kelas_rs,tipe_rs,rawat_jalan,NO,KODE INA-CBG,DESKRIPSI KODE INA-CBG,TARIF INA-CBG
270,50.0,109.4,452.8,784.8,-270- TARIF INA-CBG REGIONAL 2 RUMAH SAKIT KELAS C PEMERINTAH RAWAT JALAN,,,,,1,B-2-10-0,PROSEDUR PADA HATI DAN PANKREAS,1.095.000
270,50.0,109.4,452.8,784.8,-270- TARIF INA-CBG REGIONAL 2 RUMAH SAKIT KELAS C PEMERINTAH RAWAT JALAN,,,,,2,B-2-11-0,PROSEDUR BESAR PADA SALURAN EMPEDU,1.196.100
270,50.0,109.4,452.8,784.8,-270- TARIF INA-CBG REGIONAL 2 RUMAH SAKIT KELAS C PEMERINTAH RAWAT JALAN,,,,,3,B-2-12-0,PROSEDUR KOLESISTEKTOMI TANPA LAPAROSKOPI,2.531.100
270,50.0,109.4,452.8,784.8,-270- TARIF INA-CBG REGIONAL 2 RUMAH SAKIT KELAS C PEMERINTAH RAWAT JALAN,,,,,4,B-2-13-0,PROSEDUR LAIN-LAIN PADA HEPATOBILIARI & PANKREAS,2.567.600
270,50.0,109.4,452.8,784.8,-270- TARIF INA-CBG REGIONAL 2 RUMAH SAKIT KELAS C PEMERINTAH RAWAT JALAN,,,,,5,B-2-14-0,PROSEDUR KOLESISTEKTOMI DENGAN LAPAROSKOPI,3.085.900
270,50.0,109.4,452.8,784.8,-270- TARIF INA-CBG REGIONAL 2 RUMAH SAKIT KELAS C PEMERINTAH RAWAT JALAN,,,,,6,B-3-10-0,PROSEDUR PADA PERKUTAN HATI & SALURAN EMPEDU,1.131.100
270,50.0,109.4,452.8,784.8,-270- TARIF INA-CBG REGIONAL 2 RUMAH SAKIT KELAS C PEMERINTAH RAWAT JALAN,,,,,7,B-3-11-0,PROSEDUR ENDOSKOPI SALURAN EMPEDU,967.300
270,50.0,109.4,452.8,784.8,-270- TARIF INA-CBG REGIONAL 2 RUMAH SAKIT KELAS C PEMERINTAH RAWAT JALAN,,,,,8,B-3-12-0,PROSEDUR LAIN-LAIN PADA SISTEM HEPATOBILIARI DAN PANKREAS,417.700
270,50.0,109.4,452.8,784.8,-270- TARIF INA-CBG REGIONAL 2 RUMAH SAKIT KELAS C PEMERINTAH RAWAT JALAN,,,,,9,C-3-10-0,PROSEDUR RADIOTERAPI,740.000
270,50.0,109.4,452.8,784.8,-270- TARIF INA-CBG REGIONAL 2 RUMAH SAKIT KELAS C PEMERINTAH RAWAT JALAN,,,,,10,C-3-11-0,KEMOTERAPI PADA TUMOR PARU & KANDUNG KEMIH,935.500
