page,bbox_x0,bbox_top,bbox_x1,bbox_bottom,tentang,tipe_regional,kelas_rs,tipe_rs,rawat_jalan,NO,KODE INA-CBG,DESKRIPSI KODE INA-CBG,TARIF KELAS 3,TARIF KELAS 2,TARIF KELAS 1
316,50.0,106.0,534.1,779.4,-316- TARIF INA-CBG REGIONAL 3 RUMAH SAKIT KELAS A PEMERINTAH RAWAT INAP,,,,,1,A-4-10-I,SEPTIKEMIA (RINGAN),3.753.300,4.372.600,4.991.900
316,50.0,106.0,534.1,779.4,-316- TARIF INA-CBG REGIONAL 3 RUMAH SAKIT KELAS A PEMERINTAH RAWAT INAP,,,,,2,A-4-10-II,SEPTIKEMIA (SEDANG),6.411.000,7.468.800,8.526.600
316,50.0,106.0,534.1,779.4,-316- TARIF INA-CBG REGIONAL 3 RUMAH SAKIT KELAS A PEMERINTAH RAWAT INAP,,,,,3,A-4-10-III,SEPTIKEMIA (BERAT),8.644.000,10.070.300,11.496.500
316,50.0,106.0,534.1,779.4,-316- TARIF INA-CBG REGIONAL 3 RUMAH SAKIT KELAS A PEMERINTAH RAWAT INAP,,,,,4,A-4-11-I,INFEKSI SESUDAH OPERASI & TRAUMA (RINGAN),4.985.400,5.808.000,6.630.600
316,50.0,106.0,534.1,779.4,-316- TARIF INA-CBG REGIONAL 3 RUMAH SAKIT KELAS A PEMERINTAH RAWAT INAP,,,,,5,A-4-11-II,INFEKSI SESUDAH OPERASI & TRAUMA (SEDANG),6.554.700,7.636.200,8.717.700
316,50.0,106.0,534.1,779.4,-316- TARIF INA-CBG REGIONAL 3 RUMAH SAKIT KELAS A PEMERINTAH RAWAT INAP,,,,,6,A-4-11-III,INFEKSI SESUDAH OPERASI & TRAUMA (BERAT),8.963.200,10.442.200,11.921.100
316,50.0,106.0,534.1,779.4,-316- TARIF INA-CBG REGIONAL 3 RUMAH SAKIT KELAS A PEMERINTAH RAWAT INAP,,,,,7,A-4-12-I,DEMAM YANG TIDAK DITENTUKAN (RINGAN),2.967.400,3.457.000,3.946.700
316,50.0,106.0,534.1,779.4,-316- TARIF INA-CBG REGIONAL 3 RUMAH SAKIT KELAS A PEMERINTAH RAWAT INAP,,,,,8,A-4-12-II,DEMAM YANG TIDAK DITENTUKAN (SEDANG),5.122.200,5.967.300,6.812.500
316,50.0,106.0,534.1,779.4,-316- TARIF INA-CBG REGIONAL 3 RUMAH SAKIT KELAS A PEMERINTAH RAWAT INAP,,,,,9,A-4-12-III,DEMAM YANG TIDAK DITENTUKAN (BERAT),7.380.200,8.597.900,9.815.600
316,50.0,106.0,534.1,779.4,-316- TARIF INA-CBG REGIONAL 3 RUMAH SAKIT KELAS A PEMERINTAH RAWAT INAP,,,,,10,A-4-13-I,INFEKSI VIRAL & NON-BAKTERIAL LAIN (RINGAN),2.208.600,2.573.000,2.937.500
316,50.0,106.0,534.1,779.4,-316- TARIF INA-CBG REGIONAL 3 RUMAH SAKIT KELAS A PEMERINTAH RAWAT INAP,,,,,1,A-4-13-II,INFEKSI VIRAL & NON-BAKTERIAL LAIN (SEDANG),3.903.100,4.547.200,5.191.200
316,50.0,106.0,534.1,779.4,-316- TARIF INA-CBG REGIONAL 3 RUMAH SAKIT KELAS A PEMERINTAH RAWAT INAP,,,,,12,A-4-13-III,INFEKSI VIRAL & NON-BAKTERIAL LAIN (BERAT),4.683.700,5.456.600,6.229.400
316,50.0,106.0,534.1,779.4,-316- TARIF INA-CBG REGIONAL 3 RUMAH SAKIT KELAS A PEMERINTAH RAWAT INAP,,,,,13,A-4-14-I,PENYAKIT INFEKSI BAKTERI DAN PARASIT LAIN-LAIN (RINGAN),2.482.800,2.892.500,3.302.100
316,50.0,106.0,534.1,779.4,-316- TARIF INA-CBG REGIONAL 3 RUMAH SAKIT KELAS A PEMERINTAH RAWAT INAP,,,,,14,A-4-14-II,PENYAKIT INFEKSI BAKTERI DAN PARASIT LAIN-LAIN (SEDANG),4.163.000,4.849.900,5.536.800
316,50.0,106.0,534.1,779.4,-316- TARIF INA-CBG REGIONAL 3 RUMAH SAKIT KELAS A PEMERINTAH RAWAT INAP,,,,,15,A-4-14-III,PENYAKIT INFEKSI BAKTERI DAN PARASIT LAIN-LAIN (BERAT),4.995.600,5.819.800,6.644.100
316,50.0,106.0,534.1,779.4,-316- TARIF INA-CBG REGIONAL 3 RUMAH SAKIT KELAS A PEMERINTAH RAWAT INAP,,,,,16,A-4-15-I,INFEKSI HIV (RINGAN),19.316.000,22.503.200,25.690.300
316,50.0,106.0,534.1,779.4,-316- TARIF INA-CBG REGIONAL 3 RUMAH SAKIT KELAS A PEMERINTAH RAWAT INAP,,,,,17,A-4-15-II,INFEKSI HIV (SEDANG),24.054.900,28.023.900,31.992.900
