page,bbox_x0,bbox_top,bbox_x1,bbox_bottom,tentang,tipe_regional,kelas_rs,tipe_rs,rawat_jalan,NO,KODE SPECIAL CMG,DESKRIPSI SPECIAL CMG,KODE GROUP INA-CBG,KODE DIAGNO SIS (ICD-10 VERSI TAHUN 2010),KODE PROSEDU R (ICD-9- CM VERSI TAHUN 2010)
32,114.3,142.9,499.5,689.3,-31- -32-,,,,,,,,A-4-10-III,"A22.7, A39.1, A39.2, A39.3, A39.4, A39.8, A39.9, A40.0, A40.1, A40.2, A40.3, A40.8, A40.9, A41.0, A41.1, A41.2, A41.3, A41.4, A41.5, A41.8, A41.9, A42.7,",
3,114.3,142.9,499.5,709.0,-31- -32-,,,,,,,,,"B37.7, R57.1",
3,114.3,142.9,499.5,709.0,-31- -32-,,,,,6,DD-06-II,Anti Hemofilia Factor,D-4-11-I D-4-11-II D-4-11-III,"D66, D67",-
3,114.3,142.9,499.5,709.0,-31- -32-,,,,,,,,L-1-20-I L-1-20-II L-1-20-III,"T20.3, T20.7, T21.3, T21.7, T22.3, T22.7, T23.3, T23.7, T24.3, T24.7, T25.3, T25.7, T29.3, T29.7, T31.4, T31.5, T31.6, T31.7,","85.82, 85.83, 85.84, 85.85, 86.60, 86.61, 86.62, 86.63, 86.65, 86.66, 86.67, 86.69, 86.70, 86.71, 86.72, 86.73, 86.74, 86.75,"
34,114.3,142.9,499.5,708.6,-31- -32-,,,,,,,,,"T31.8, T31.9, T32.4, T32.5, T32.6, T32.7, T32.8, T32.9","86.91, 86.93"
34,114.3,142.9,499.5,708.6,-31- -32-,,,,,,,,S-4-16-I S-4-16-II S-4-16-III,"T20.3, T20.7, T21.3, T21.7, T22.3, T22.7, T23.3, T23.7, T24.3, T24.7, T25.3, T25.7, T29.3, T29.7, T31.4,",-
35,114.3,142.9,499.5,709.9,-31- -32-,,,,,,,,,"T31.5, T31.6, T31.7, T31.8, T31.9, T32.4, T32.5, T32.6, T32.7, T32.8, T32.9",
35,114.3,142.9,499.5,709.9,-31- -32-,,,,,8,RR-01-II,Subdural Grid Electrode,G-1-10-I G-1-10-II G-1-10-III,-,02.93
35,114.3,142.9,499.5,709.9,-31- -32-,,,,,9,RR-02-II,Contegra,I-1-03-I I-1-03-II I-1-03-III,-,35.92
35,114.3,142.9,499.5,709.9,-31- -32-,,,,,10,RR-03-III,Temporomandibul ar Joint (TMJ) Prothesis,M-1-60-I M-1-60-II M-1-60-III,-,76.5
