page,bbox_x0,bbox_top,bbox_x1,bbox_bottom,tentang,tipe_regional,kelas_rs,tipe_rs,rawat_jalan,NO,KODE INA-CBG,DESKRIPSI KODE INA-CBG,TARIF KELAS 3,TARIF KELAS 2,TARIF KELAS 1
386,50.0,106.0,534.1,779.4,-386- TARIF INA-CBG REGIONAL 3 RUMAH SAKIT KELAS C SWASTA RAWAT INAP,,,,,1,A-4-10-I,SEPTIKEMIA (RINGAN),2.393.200,2.788.100,3.182.900
386,50.0,106.0,534.1,779.4,-386- TARIF INA-CBG REGIONAL 3 RUMAH SAKIT KELAS C SWASTA RAWAT INAP,,,,,2,A-4-10-II,SEPTIKEMIA (SEDANG),4.019.800,4.683.000,5.346.300
386,50.0,106.0,534.1,779.4,-386- TARIF INA-CBG REGIONAL 3 RUMAH SAKIT KELAS C SWASTA RAWAT INAP,,,,,3,A-4-10-III,SEPTIKEMIA (BERAT),5.473.600,6.376.800,7.279.900
386,50.0,106.0,534.1,779.4,-386- TARIF INA-CBG REGIONAL 3 RUMAH SAKIT KELAS C SWASTA RAWAT INAP,,,,,4,A-4-11-I,INFEKSI SESUDAH OPERASI & TRAUMA (RINGAN),3.178.800,3.703.300,4.227.800
386,50.0,106.0,534.1,779.4,-386- TARIF INA-CBG REGIONAL 3 RUMAH SAKIT KELAS C SWASTA RAWAT INAP,,,,,5,A-4-11-II,INFEKSI SESUDAH OPERASI & TRAUMA (SEDANG),4.335.600,5.051.000,5.766.300
386,50.0,106.0,534.1,779.4,-386- TARIF INA-CBG REGIONAL 3 RUMAH SAKIT KELAS C SWASTA RAWAT INAP,,,,,6,A-4-11-III,INFEKSI SESUDAH OPERASI & TRAUMA (BERAT),6.001.500,6.991.700,7.982.000
386,50.0,106.0,534.1,779.4,-386- TARIF INA-CBG REGIONAL 3 RUMAH SAKIT KELAS C SWASTA RAWAT INAP,,,,,7,A-4-12-I,DEMAM YANG TIDAK DITENTUKAN (RINGAN),2.758.700,3.213.900,3.669.100
386,50.0,106.0,534.1,779.4,-386- TARIF INA-CBG REGIONAL 3 RUMAH SAKIT KELAS C SWASTA RAWAT INAP,,,,,8,A-4-12-II,DEMAM YANG TIDAK DITENTUKAN (SEDANG),3.435.200,4.002.000,4.568.800
386,50.0,106.0,534.1,779.4,-386- TARIF INA-CBG REGIONAL 3 RUMAH SAKIT KELAS C SWASTA RAWAT INAP,,,,,9,A-4-12-III,DEMAM YANG TIDAK DITENTUKAN (BERAT),3.666.200,4.271.200,4.876.100
386,50.0,106.0,534.1,779.4,-386- TARIF INA-CBG REGIONAL 3 RUMAH SAKIT KELAS C SWASTA RAWAT INAP,,,,,10,A-4-13-I,INFEKSI VIRAL & NON-BAKTERIAL LAIN (RINGAN),1.965.800,2.290.200,2.614.500
