page,bbox_x0,bbox_top,bbox_x1,bbox_bottom,tentang,tipe_regional,kelas_rs,tipe_rs,rawat_jalan,7 NO,DD-11-II KODE SPESIAL,Human Albumin for Burn DESKRIPSI SPESIAL CMG,KODE INA- S-C4B-1G6-I,KELAS RAWAT,A PEMERINTAH,B PEMERINTAH,C PEMERINTAH,D PEMERINTAH
41,90.0,157.0,498.6,735.9,-40- -41- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,,3,4.289.100,4 .289.100,4 .289.100,4 .289.100
41,90.0,157.0,498.6,735.9,-40- -41- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,S-4-16-II,1,4.289.100,4 .289.100,4 .289.100,4 .289.100
41,90.0,157.0,498.6,735.9,-40- -41- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,,2,4.289.100,4 .289.100,4 .289.100,4 .289.100
41,90.0,157.0,498.6,735.9,-40- -41- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,,3,4.289.100,4 .289.100,4 .289.100,4 .289.100
41,90.0,157.0,498.6,735.9,-40- -41- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,S-4-16-III,1,4.289.100,4 .289.100,4 .289.100,4 .289.100
41,90.0,157.0,498.6,735.9,-40- -41- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,,2,4.289.100,4 .289.100,4 .289.100,4 .289.100
41,90.0,157.0,498.6,735.9,-40- -41- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,,3,4.289.100,4 .289.100,4 .289.100,4 .289.100
41,90.0,157.0,498.6,735.9,-40- -41- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,8,RR-01-II,Subdural Grid Electrode,G-1-10-I,1,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 6.656.400,8 .443.500,-,-
41,90.0,157.0,498.6,735.9,-40- -41- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,,2,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 6.656.400,8 .443.500,-,-
41,90.0,157.0,498.6,735.9,-40- -41- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,,3,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 6.656.400,8 .443.500,-,-
41,90.0,157.0,498.6,735.9,-40- -41- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,G-1-10-II,1,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 6.656.400,8 .443.500,-,-
41,90.0,157.0,498.6,735.9,-40- -41- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,,2,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 6.656.400,8 .443.500,-,-
41,90.0,157.0,498.6,735.9,-40- -41- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,,3,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 6.656.400,8 .443.500,-,-
41,90.0,157.0,498.6,735.9,-40- -41- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,G-1-10-III,1,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 6.656.400,8 .443.500,-,-
41,90.0,157.0,498.6,735.9,-40- -41- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,,2,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 6.656.400,8 .443.500,-,-
41,90.0,157.0,498.6,735.9,-40- -41- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,,3,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 6.656.400,8 .443.500,-,-
41,90.0,157.0,498.6,735.9,-40- -41- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,9,RR-02-II,Contegra,I-1-03-I,1,-,-,-,-
41,90.0,157.0,498.6,735.9,-40- -41- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,,2,-,-,-,-
41,90.0,157.0,498.6,735.9,-40- -41- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,,3,-,-,-,-
41,90.0,157.0,498.6,735.9,-40- -41- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,I-1-03-II,1,-,-,-,-
41,90.0,157.0,498.6,735.9,-40- -41- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,,2,-,-,-,-
41,90.0,157.0,498.6,735.9,-40- -41- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,,3,-,-,-,-
41,90.0,157.0,498.6,735.9,-40- -41- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,I-1-03-III,1,-,-,-,-
41,90.0,157.0,498.6,735.9,-40- -41- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,,2,-,-,-,-
41,90.0,157.0,498.6,735.9,-40- -41- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,,3,-,-,-,-
41,90.0,157.0,498.6,735.9,-40- -41- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,10,RR-03-III,Temporomandibular Joint (TMJ) Prothesis,M-1-60-I,1,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1.868.400,11.868.400,11.868.400,-
41,90.0,157.0,498.6,735.9,-40- -41- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,,2,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1.868.400,11.868.400,11.868.400,-
41,90.0,157.0,498.6,735.9,-40- -41- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,,3,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1.868.400,11.868.400,11.868.400,-
41,90.0,157.0,498.6,735.9,-40- -41- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,M-1-60-II,1,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1.868.400,11.868.400,11.868.400,-
41,90.0,157.0,498.6,735.9,-40- -41- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,,2,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1.868.400,11.868.400,11.868.400,-
41,90.0,157.0,498.6,735.9,-40- -41- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,,3,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1.868.400,11.868.400,11.868.400,-
41,90.0,157.0,498.6,735.9,-40- -41- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,M-1-60-III,1,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1.868.400,11.868.400,11.868.400,-
