page,bbox_x0,bbox_top,bbox_x1,bbox_bottom,tentang,tipe_regional,kelas_rs,tipe_rs,rawat_jalan,13 NO,YY-01-II KODE SPESIAL,Hip Replacement/Knee Replacement DESKRIPSI SPESIAL CMG,KODE INA- CBG,KELAS RAWAT,A PEMERINTAH,B PEMERINTAH,C PEMERINTAH,D PEMERINTAH
42,90.0,157.0,498.6,735.9,-41- -42- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,M-1-04-III,1,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 3.099.000,5 .614.100,4 .294.000,-
42,90.0,157.0,498.6,735.9,-41- -42- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,,2,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 3.099.000,5 .614.100,4 .294.000,-
42,90.0,157.0,498.6,735.9,-41- -42- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,,3,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 3.099.000,5 .614.100,4 .294.000,-
42,90.0,157.0,498.6,735.9,-41- -42- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,14,YY-02-III,Percutaneous Coronary Intervention (PCI),I-1-40-I,1,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 4.434.100,10.413.400,7 .725.900,-
42,90.0,157.0,498.6,735.9,-41- -42- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,,2,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 4.434.100,10.413.400,7 .725.900,-
42,90.0,157.0,498.6,735.9,-41- -42- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,,3,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 4.434.100,10.413.400,7 .725.900,-
42,90.0,157.0,498.6,735.9,-41- -42- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,I-1-40-II,1,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 4.434.100,10.413.400,7 .725.900,-
42,90.0,157.0,498.6,735.9,-41- -42- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,,2,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 4.434.100,10.413.400,7 .725.900,-
42,90.0,157.0,498.6,735.9,-41- -42- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,,3,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 4.434.100,10.413.400,7 .725.900,-
42,90.0,157.0,498.6,735.9,-41- -42- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,I-1-40-III,1,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 4.434.100,10.413.400,7 .725.900,-
42,90.0,157.0,498.6,735.9,-41- -42- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,,2,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 4.434.100,10.413.400,7 .725.900,-
42,90.0,157.0,498.6,735.9,-41- -42- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,,3,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 4.434.100,10.413.400,7 .725.900,-
42,90.0,157.0,498.6,735.9,-41- -42- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,15,YY-03-III,Keratoplasty,H-1-30-I,1,8.970.200,8 .073.200,7 .176.100,-
42,90.0,157.0,498.6,735.9,-41- -42- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,,2,8.970.200,8 .073.200,7 .176.100,-
42,90.0,157.0,498.6,735.9,-41- -42- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,,3,8.970.200,8 .073.200,7 .176.100,-
42,90.0,157.0,498.6,735.9,-41- -42- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,H-1-30-II,1,8.970.200,8 .073.200,7 .176.100,-
42,90.0,157.0,498.6,735.9,-41- -42- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,,2,8.970.200,8 .073.200,7 .176.100,-
42,90.0,157.0,498.6,735.9,-41- -42- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,,3,8.970.200,8 .073.200,7 .176.100,-
42,90.0,157.0,498.6,735.9,-41- -42- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,H-1-30-III,1,8.970.200,8 .073.200,7 .176.100,-
42,90.0,157.0,498.6,735.9,-41- -42- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,,2,8.970.200,8 .073.200,7 .176.100,-
42,90.0,157.0,498.6,735.9,-41- -42- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,,3,8.970.200,8 .073.200,7 .176.100,-
42,90.0,157.0,498.6,735.9,-41- -42- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,16,YY-04-III,Pancreatectomy,B-1-10-I,1,8.067.400,6 .210.100,3 .886.300,3 .390.400
42,90.0,157.0,498.6,735.9,-41- -42- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,,2,8.067.400,6 .210.100,3 .886.300,3 .390.400
42,90.0,157.0,498.6,735.9,-41- -42- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,,3,8.067.400,6 .210.100,3 .886.300,3 .390.400
42,90.0,157.0,498.6,735.9,-41- -42- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,B-1-10-II,1,8.067.400,6 .210.100,3 .886.300,3 .390.400
42,90.0,157.0,498.6,735.9,-41- -42- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,,2,8.067.400,6 .210.100,3 .886.300,3 .390.400
