page,bbox_x0,bbox_top,bbox_x1,bbox_bottom,tentang,tipe_regional,kelas_rs,tipe_rs,rawat_jalan,NO,KODE SPESIAL,DESKRIPSI SPESIAL CMG,KODE INA- CBG,KELAS RAWAT,A PEMERINTAH,B PEMERINTAH,C PEMERINTAH,D PEMERINTAH
43,90.0,157.0,498.6,568.1,-42- -43- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,21,YY-09-III,Vitrectomy,H-1-30-I,2,8.970.200,8 .073.200,7 .176.100,-
43,90.0,157.0,498.6,568.1,-42- -43- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,,3,8.970.200,8 .073.200,7 .176.100,-
43,90.0,157.0,498.6,568.1,-42- -43- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,H-1-30-II,1,8.970.200,8 .073.200,7 .176.100,-
43,90.0,157.0,498.6,568.1,-42- -43- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,,2,8.970.200,8 .073.200,7 .176.100,-
43,90.0,157.0,498.6,568.1,-42- -43- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,,3,8.970.200,8 .073.200,7 .176.100,-
43,90.0,157.0,498.6,568.1,-42- -43- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,H-1-30-III,1,8.970.200,8 .073.200,7 .176.100,-
43,90.0,157.0,498.6,568.1,-42- -43- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,,2,8.970.200,8 .073.200,7 .176.100,-
43,90.0,157.0,498.6,568.1,-42- -43- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,,3,8.970.200,8 .073.200,7 .176.100,-
43,90.0,157.0,498.6,568.1,-42- -43- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,2,YY-13-III,Coil,G-1-12-I,1,2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 4.141.000,18.187.400,12.921.500,-
43,90.0,157.0,498.6,568.1,-42- -43- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,,2,2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 4.141.000,18.187.400,12.921.500,-
43,90.0,157.0,498.6,568.1,-42- -43- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,,3,2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 4.141.000,18.187.400,12.921.500,-
43,90.0,157.0,498.6,568.1,-42- -43- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,G-1-12-II,1,2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 4.141.000,18.187.400,12.921.500,-
43,90.0,157.0,498.6,568.1,-42- -43- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,,2,2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 4.141.000,18.187.400,12.921.500,-
43,90.0,157.0,498.6,568.1,-42- -43- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,,3,2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 4.141.000,18.187.400,12.921.500,-
43,90.0,157.0,498.6,568.1,-42- -43- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,G-1-12-III,1,2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 4.141.000,18.187.400,12.921.500,-
43,90.0,157.0,498.6,568.1,-42- -43- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,,2,2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 4.141.000,18.187.400,12.921.500,-
43,90.0,157.0,498.6,568.1,-42- -43- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,,3,2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 4.141.000,18.187.400,12.921.500,-
43,90.0,157.0,498.6,568.1,-42- -43- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,23,YY-14-III,Trombektomi,G-1-12-I,1,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 7.171.600,12.936.800,9 .191.100,-
43,90.0,157.0,498.6,568.1,-42- -43- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,,2,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 7.171.600,12.936.800,9 .191.100,-
43,90.0,157.0,498.6,568.1,-42- -43- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,,3,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 7.171.600,12.936.800,9 .191.100,-
