page,bbox_x0,bbox_top,bbox_x1,bbox_bottom,tentang,tipe_regional,kelas_rs,tipe_rs,rawat_jalan,NO,KODE INA-CBG,DESKRIPSI KODE INA-CBG,TARIF KELAS 3,TARIF KELAS 2,TARIF KELAS 1
708,50.0,106.0,514.5,779.4,-708- TARIF INA-CBG RUMAH SAKIT PUSAT OTAK NASIONAL RAWAT INAP,,,,,1,A-4-10-I,SEPTIKEMIA (RINGAN),5.868.500,6.836.800,7.805.100
708,50.0,106.0,514.5,779.4,-708- TARIF INA-CBG RUMAH SAKIT PUSAT OTAK NASIONAL RAWAT INAP,,,,,2,A-4-10-II,SEPTIKEMIA (SEDANG),10.015.800,11.668.400,13.321.000
708,50.0,106.0,514.5,779.4,-708- TARIF INA-CBG RUMAH SAKIT PUSAT OTAK NASIONAL RAWAT INAP,,,,,3,A-4-10-III,SEPTIKEMIA (BERAT),13.504.500,15.732.700,17.960.900
708,50.0,106.0,514.5,779.4,-708- TARIF INA-CBG RUMAH SAKIT PUSAT OTAK NASIONAL RAWAT INAP,,,,,4,A-4-11-I,INFEKSI SESUDAH OPERASI & TRAUMA (RINGAN),4.966.900,5.786.400,6.606.000
708,50.0,106.0,514.5,779.4,-708- TARIF INA-CBG RUMAH SAKIT PUSAT OTAK NASIONAL RAWAT INAP,,,,,5,A-4-11-II,INFEKSI SESUDAH OPERASI & TRAUMA (SEDANG),6.530.400,7.607.900,8.685.300
708,50.0,106.0,514.5,779.4,-708- TARIF INA-CBG RUMAH SAKIT PUSAT OTAK NASIONAL RAWAT INAP,,,,,6,A-4-11-III,INFEKSI SESUDAH OPERASI & TRAUMA (BERAT),8.841.500,10.300.300,11.759.200
708,50.0,106.0,514.5,779.4,-708- TARIF INA-CBG RUMAH SAKIT PUSAT OTAK NASIONAL RAWAT INAP,,,,,7,A-4-12-I,DEMAM YANG TIDAK DITENTUKAN (RINGAN),2.927.100,3.410.100,3.893.100
708,50.0,106.0,514.5,779.4,-708- TARIF INA-CBG RUMAH SAKIT PUSAT OTAK NASIONAL RAWAT INAP,,,,,8,A-4-12-II,DEMAM YANG TIDAK DITENTUKAN (SEDANG),5.052.600,5.886.300,6.720.000
708,50.0,106.0,514.5,779.4,-708- TARIF INA-CBG RUMAH SAKIT PUSAT OTAK NASIONAL RAWAT INAP,,,,,9,A-4-12-III,DEMAM YANG TIDAK DITENTUKAN (BERAT),7.279.900,8.481.100,9.682.300
708,50.0,106.0,514.5,779.4,-708- TARIF INA-CBG RUMAH SAKIT PUSAT OTAK NASIONAL RAWAT INAP,,,,,10,A-4-13-I,INFEKSI VIRAL & NON-BAKTERIAL LAIN (RINGAN),2.614.300,3.045.700,3.477.000
