page,bbox_x0,bbox_top,bbox_x1,bbox_bottom,tentang,tipe_regional,kelas_rs,tipe_rs,rawat_jalan,NO,KODE SPESIAL,DESKRIPSI SPESIAL CMG,KODE INA- CBG,KELAS RAWAT,RSCM,RSJP-HK,RSAB-HK,RSK DHARMAIS,RSPON
80,92.6,153.0,496.4,736.5,-79- -80- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,1,DD-01-I,Streptokinase,I-4-10-I,1,4.850.700,4.850.700,4.850.700,4.850.700,4.850.700
80,92.6,153.0,496.4,736.5,-79- -80- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,,2,4.850.700,4.850.700,4.850.700,4.850.700,4.850.700
80,92.6,153.0,496.4,736.5,-79- -80- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,,3,4.850.700,4.850.700,4.850.700,4.850.700,4.850.700
80,92.6,153.0,496.4,736.5,-79- -80- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,I-4-10-II,1,4.850.700,4.850.700,4.850.700,4.850.700,4.850.700
80,92.6,153.0,496.4,736.5,-79- -80- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,,2,4.850.700,4.850.700,4.850.700,4.850.700,4.850.700
80,92.6,153.0,496.4,736.5,-79- -80- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,,3,4.850.700,4.850.700,4.850.700,4.850.700,4.850.700
80,92.6,153.0,496.4,736.5,-79- -80- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,I-4-10-III,1,4.850.700,4.850.700,4.850.700,4.850.700,4.850.700
80,92.6,153.0,496.4,736.5,-79- -80- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,,2,4.850.700,4.850.700,4.850.700,4.850.700,4.850.700
80,92.6,153.0,496.4,736.5,-79- -80- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,,3,4.850.700,4.850.700,4.850.700,4.850.700,4.850.700
80,92.6,153.0,496.4,736.5,-79- -80- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,2,DD-02-II,Deferiprone,D-4-13-I,1,5.962.000,5.962.000,5.962.000,5.962.000,5.962.000
80,92.6,153.0,496.4,736.5,-79- -80- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,,2,5.962.000,5.962.000,5.962.000,5.962.000,5.962.000
80,92.6,153.0,496.4,736.5,-79- -80- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,,3,5.962.000,5.962.000,5.962.000,5.962.000,5.962.000
80,92.6,153.0,496.4,736.5,-79- -80- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,D-4-13-II,1,5.962.000,5.962.000,5.962.000,5.962.000,5.962.000
80,92.6,153.0,496.4,736.5,-79- -80- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,,2,5.962.000,5.962.000,5.962.000,5.962.000,5.962.000
80,92.6,153.0,496.4,736.5,-79- -80- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,,3,5.962.000,5.962.000,5.962.000,5.962.000,5.962.000
80,92.6,153.0,496.4,736.5,-79- -80- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,D-4-13-III,1,5.962.000,5.962.000,5.962.000,5.962.000,5.962.000
80,92.6,153.0,496.4,736.5,-79- -80- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,,2,5.962.000,5.962.000,5.962.000,5.962.000,5.962.000
80,92.6,153.0,496.4,736.5,-79- -80- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,,3,5.962.000,5.962.000,5.962.000,5.962.000,5.962.000
80,92.6,153.0,496.4,736.5,-79- -80- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,3,DD-03-II,Deferoksamin,D-4-13-I,1,5.962.000,5.962.000,5.962.000,5.962.000,5.962.000
80,92.6,153.0,496.4,736.5,-79- -80- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,,2,5.962.000,5.962.000,5.962.000,5.962.000,5.962.000
80,92.6,153.0,496.4,736.5,-79- -80- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,,3,5.962.000,5.962.000,5.962.000,5.962.000,5.962.000
80,92.6,153.0,496.4,736.5,-79- -80- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,D-4-13-II,1,5.962.000,5.962.000,5.962.000,5.962.000,5.962.000
80,92.6,153.0,496.4,736.5,-79- -80- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,,2,5.962.000,5.962.000,5.962.000,5.962.000,5.962.000
80,92.6,153.0,496.4,736.5,-79- -80- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,,3,5.962.000,5.962.000,5.962.000,5.962.000,5.962.000
80,92.6,153.0,496.4,736.5,-79- -80- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,D-4-13-III,1,5.962.000,5.962.000,5.962.000,5.962.000,5.962.000
80,92.6,153.0,496.4,736.5,-79- -80- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,,2,5.962.000,5.962.000,5.962.000,5.962.000,5.962.000
80,92.6,153.0,496.4,736.5,-79- -80- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,,3,5.962.000,5.962.000,5.962.000,5.962.000,5.962.000
80,92.6,153.0,496.4,736.5,-79- -80- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,4,DD-04-II,Deferasirox,D-4-13-I,1,5.962.000,5.962.000,5.962.000,5.962.000,5.962.000
80,92.6,153.0,496.4,736.5,-79- -80- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,,2,5.962.000,5.962.000,5.962.000,5.962.000,5.962.000
80,92.6,153.0,496.4,736.5,-79- -80- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,,3,5.962.000,5.962.000,5.962.000,5.962.000,5.962.000
80,92.6,153.0,496.4,736.5,-79- -80- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,D-4-13-II,1,5.962.000,5.962.000,5.962.000,5.962.000,5.962.000
80,92.6,153.0,496.4,736.5,-79- -80- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,,2,5.962.000,5.962.000,5.962.000,5.962.000,5.962.000
80,92.6,153.0,496.4,736.5,-79- -80- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,,3,5.962.000,5.962.000,5.962.000,5.962.000,5.962.000
