page,bbox_x0,bbox_top,bbox_x1,bbox_bottom,col_0,Ketersediaan,col_2,Ketersediaan dokter gigi,Besaran Tarif
6,226.9,190.0,524.5,531.5,,dokter atau,,,
6,226.9,190.0,524.5,531.5,,rasio dokter,,,
6,226.9,190.0,524.5,531.5,,terhadap,,,
6,226.9,190.0,524.5,531.5,,jumlah peserta,,,
6,226.9,190.0,524.5,531.5,Tersedia dokter dengan rasio 1:≤5000,,,Tersedia dokter gigi,"Rp7.000,00 (tujuh ribu rupiah)"
6,226.9,190.0,524.5,531.5,Tersedia dokter dengan rasio 1:≤5000,,,Tidak tersedia dokter gigi,"Rp6.300,00 (enam ribu tiga ratus rupiah)"
6,226.9,190.0,524.5,531.5,Tersedia dokter dengan rasio 1:>5000,,,Tersedia dokter gigi,"Rp6.000,00 (enam ribu rupiah)"
6,226.9,190.0,524.5,531.5,Tersedia dokter dengan rasio 1:>5000,,,Tidak tersedia dokter gigi,"Rp5.300,00 (lima ribu tiga ratus rupiah)"
6,226.9,190.0,524.5,531.5,Tidak tersedia dokter,,,Tersedia dokter gigi,"Rp4.300,00 (empat ribu tiga ratus rupiah)"
6,226.9,190.0,524.5,531.5,Tidak tersedia dokter,,,Tidak tersedia dokter gigi,"Rp3.600,00 (tiga ribu enam ratus rupiah)"
