page,bbox_x0,bbox_top,bbox_x1,bbox_bottom,NO,KKOODDEE IINNAA--CCBBGG,DESKRIPSI KODE INA-CBG,TTAARRIIFF IINNAA--CCBBGG
550,50.0,109.4,452.8,784.8,1,B-2-10-0,PROSEDUR PADA HATI DAN PANKREAS,1.473.500
550,50.0,109.4,452.8,784.8,2,B-2-11-0,PROSEDUR BESAR PADA SALURAN EMPEDU,1.911.200
550,50.0,109.4,452.8,784.8,3,B-2-12-0,PROSEDUR KOLESISTEKTOMI TANPA LAPAROSKOPI,3.554.200
550,50.0,109.4,452.8,784.8,4,B-2-13-0,PROSEDUR LAIN-LAIN PADA HEPATOBILIARI & PANKREAS,3.671.400
550,50.0,109.4,452.8,784.8,5,B-2-14-0,PROSEDUR KOLESISTEKTOMI DENGAN LAPAROSKOPI,3.927.900
550,50.0,109.4,452.8,784.8,6,B-3-10-0,PROSEDUR PADA PERKUTAN HATI & SALURAN EMPEDU,1.367.800
550,50.0,109.4,452.8,784.8,7,B-3-11-0,PROSEDUR ENDOSKOPI SALURAN EMPEDU,1.778.200
550,50.0,109.4,452.8,784.8,8,B-3-12-0,PROSEDUR LAIN-LAIN PADA SISTEM HEPATOBILIARI DAN PANKREAS,549.000
550,50.0,109.4,452.8,784.8,9,C-3-10-0,PROSEDUR RADIOTERAPI,1.213.100
550,50.0,109.4,452.8,784.8,10,C-3-11-0,KEMOTERAPI PADA TUMOR PARU & KANDUNG KEMIH,1.098.200
550,50.0,109.4,452.8,784.8,1,C-3-12-0,KEMOTERAPI PADA TUMOR KOLON,1.196.000
550,50.0,109.4,452.8,784.8,12,C-3-13-0,KEMOTERAPI PADA TUMOR PAYUDARA ATAU OVARIUM,1.775.500
550,50.0,109.4,452.8,784.8,13,C-3-14-0,KEMOTERAPI PADA TUMOR GASTROINTESTINAL,2.421.600
550,50.0,109.4,452.8,784.8,14,C-3-15-0,"KEMOTERAPI PADA TUMOR MELANOMA, GINJAL ATAU PROSTAT",2.219.500
550,50.0,109.4,452.8,784.8,15,C-3-16-0,KEMOTERAPI PADA TUMOR OTAK,834.000
550,50.0,109.4,452.8,784.8,16,C-3-17-0,KEMOTERAPI PADA TUMOR KEPALA ATAU LEHER,1.694.400
550,50.0,109.4,452.8,784.8,17,C-3-18-0,KEMOTERAPI PADA LEUKEMIA AKUT,775.300
550,50.0,109.4,452.8,784.8,18,C-3-19-0,"KEMOTERAPI PADA TUMOR LIMFOMA, MYELOMA ATAU TESTIS",1.404.800
550,50.0,109.4,452.8,784.8,19,C-3-20-0,KEMOTERAPI PADA TUMOR KULIT,3.148.100
550,50.0,109.4,452.8,784.8,20,C-3-21-0,KEMOTERAPI PADA TUMOR GINEKOLOGI,1.501.500
550,50.0,109.4,452.8,784.8,21,C-3-22-0,KEMOTERAPI PADA TUMOR METASTASE,2.662.500
550,50.0,109.4,452.8,784.8,2,C-3-23-0,KEMOTERAPI PADA TUMOR LAIN-LAIN,649.600
550,50.0,109.4,452.8,784.8,23,D-2-10-0,PROSEDUR PENCANGKOKAN SUMSUM TULANG,1.894.300
550,50.0,109.4,452.8,784.8,24,D-2-11-0,PROSEDUR LIMPA,2.712.000
550,50.0,109.4,452.8,784.8,25,D-2-21-0,PROSEDUR BESAR PADA NODUL LIMPA DAN TYMUS,2.709.900
550,50.0,109.4,452.8,784.8,26,D-2-22-0,PROSEDUR KECIL PADA NODUL LIMPA DAN TYMUS,666.100
550,50.0,109.4,452.8,784.8,27,D-3-10-0,PROSEDUR TRANSFUSI & TERAPI SUMSUM TULANG,1.599.500
550,50.0,109.4,452.8,784.8,28,D-3-11-0,PROSEDUR DIAGNOSTIK DARAH DAN ORGAN PEMBENTUK DARAH,1.308.000
550,50.0,109.4,452.8,784.8,29,E-2-10-0,PROSEDUR PADA KELENJAR ADRENAL,786.000
550,50.0,109.4,452.8,784.8,30,E-2-21-0,PROSEDUR BESAR PADA KELENJAR TIROID DAN PARATIROID,983.200
550,50.0,109.4,452.8,784.8,31,E-2-22-0,"PROSEDUR KECIL PADA KELENJAR TIROID,PARATIROID DAN SALURAN THYROGLOSSAL",765.800
550,50.0,109.4,452.8,784.8,32,E-3-10-0,PROSEDUR DIAGNOSTIK PADA KELENJAR ENDOKRIN,672.200
550,50.0,109.4,452.8,784.8,3,F-3-10-0,TERAPI SHOCK,732.200
550,50.0,109.4,452.8,784.8,34,F-5-10-0,PELAYANAN KESEHATAN MENTAL EKSTENSIF,499.800
550,50.0,109.4,452.8,784.8,35,F-5-11-0,TERAPI KELOMPOK,543.400
550,50.0,109.4,452.8,784.8,36,F-5-12-0,PROSEDUR TES DIAGNOSTIK KESEHATAN JIWA,443.100
550,50.0,109.4,452.8,784.8,37,F-5-13-0,PSIKOTERAPI INDIVIDU DEWASA AKUT,724.800
550,50.0,109.4,452.8,784.8,38,F-5-14-0,PSIKOTHERAPI INDIVIDU DEWASA BUKAN AKUT,375.700
550,50.0,109.4,452.8,784.8,39,F-5-15-0,PENGOBATAN INDIVIDU KETERBELAKANGAN MENTAL,372.900
550,50.0,109.4,452.8,784.8,40,F-5-16-0,PSIKOTHERAPI INDIVIDU PADA KANAK-KANAK MASALAH KESEHATAN MENTAL,394.800
550,50.0,109.4,452.8,784.8,41,G-2-10-0,PROSEDUR KRANIOTOMI,8.674.700
550,50.0,109.4,452.8,784.8,42,G-2-11-0,PROSEDUR SHUNT VENTRIKEL,4.178.800
550,50.0,109.4,452.8,784.8,43,G-2-12-0,PROSEDUR PADA PEMBULUH DARAH EKSTRAKRANIAL,3.478.600
550,50.0,109.4,452.8,784.8,4,G-2-13-0,PROSEDUR CARPAL TUNNEL RELEASE,1.210.400
550,50.0,109.4,452.8,784.8,45,G-2-21-0,PROSEDUR BESAR PADA SARAF PERIFER,2.736.300
550,50.0,109.4,452.8,784.8,46,G-2-22-0,PROSEDUR KECIL PADA SARAF PERIFER,1.534.200
550,50.0,109.4,452.8,784.8,47,G-2-31-0,PROSEDUR BESAR PADA TULANG BELAKANG,2.739.100
550,50.0,109.4,452.8,784.8,48,G-2-32-0,PROSEDUR KECIL PADA TULANG BELAKANG,1.861.600
550,50.0,109.4,452.8,784.8,49,G-3-10-0,PROSEDUR TAP & INJEKSI PADA SPINAL,841.700
550,50.0,109.4,452.8,784.8,50,G-3-11-0,PROSEDUR INJEKSI PADA SARAF PERIFER,608.900
550,50.0,109.4,452.8,784.8,51,G-3-12-0,PROSEDUR PEMERIKSAAN NEUROLOGIS LAIN,833.300
550,50.0,109.4,452.8,784.8,52,G-3-13-0,PROSEDUR ELEKROENSEFALOGRAFI (EEG),632.300
550,50.0,109.4,452.8,784.8,53,G-5-17-0,PENYAKIT SARAF KRANIAL DAN SARAF PERIFER LAIN-LAIN,393.800
550,50.0,109.4,452.8,784.8,54,H-2-21-0,PROSEDUR BESAR PADA MATA,3.841.100
550,50.0,109.4,452.8,784.8,5,H-2-22-0,PROSEDUR SEDANG PADA MATA,1.899.100
550,50.0,109.4,452.8,784.8,56,H-2-23-0,PROSEDUR KECIL PADA MATA,1.024.300
550,50.0,109.4,452.8,784.8,57,H-2-31-0,PROSEDUR BESAR PADA SEGMEN ANTERIOR MATA,4.278.400
550,50.0,109.4,452.8,784.8,58,H-2-32-0,PROSEDUR SEDANG PADA SEGMEN ANTERIOR MATA,2.895.700
550,50.0,109.4,452.8,784.8,59,H-2-33-0,PROSEDUR KECIL PADA SEGMEN ANTERIOR MATA,540.500
550,50.0,109.4,452.8,784.8,60,H-2-34-0,PROSEDUR BESAR PADA SEGMEN POSTERIOR MATA,4.331.700
550,50.0,109.4,452.8,784.8,61,H-2-35-0,PROSEDUR KECIL PADA SEGMEN POSTERIOR MATA,3.266.700
550,50.0,109.4,452.8,784.8,62,H-2-36-0,PROSEDUR OPERASI KATARAK,4.674.700
550,50.0,109.4,452.8,784.8,63,H-2-37-0,PROSEDUR PHOTOKOAGULASI DAN KRIOTHERAPI PADA RETINA,1.761.700
550,50.0,109.4,452.8,784.8,64,H-3-10-0,PROSEDUR LASER SEDANG PADA MATA,1.067.600
550,50.0,109.4,452.8,784.8,65,H-3-11-0,PROSEDUR KECIL PADA EKTRAOKULER,449.600
550,50.0,109.4,452.8,784.8,6,H-3-12-0,PROSEDUR LAIN-LAIN PADA MATA,407.900
550,50.0,109.4,452.8,784.8,67,H-3-13-0,PROSEDUR DIAGNOSTIK & IMAGING PADA MATA,426.000
550,50.0,109.4,452.8,784.8,68,I-2-11-0,PEMASANGAN/PENYISIPAN DEFIBRILATOR JANTUNG & SISTEM BANTU JANTUNG,5.904.600
550,50.0,109.4,452.8,784.8,69,I-2-12-0,PROSEDUR BESAR PADA PEMBULUH DARAH TORASIK,3.312.600
550,50.0,109.4,452.8,784.8,70,I-2-13-0,PROSEDUR BESAR PADA PEMBULUH DARAH ABDOMEN,3.653.000
550,50.0,109.4,452.8,784.8,71,I-2-14-0,PROSEDUR PEMASANGAN/PENYISIPAN ALAT PACU PERMANEN PADA JANTUNG,7.469.600
550,50.0,109.4,452.8,784.8,72,I-2-15-0,PROSEDUR KATETERISASI JANTUNG,6.868.500
550,50.0,109.4,452.8,784.8,73,I-2-16-0,PROSEDUR REVISI DEFIBRILATOR DAN ALAT PACU JANTUNG TIDAK TERMASUK PENGGANTIAN ALAT,4.083.300
550,50.0,109.4,452.8,784.8,74,I-2-17-0,PROSEDUR LIGASI DAN STRIPPING PEMBULUH DARAH VENA,1.350.900
550,50.0,109.4,452.8,784.8,75,I-2-21-0,ANGIOGRAFI ARTERI BUKAN JANTUNG,4.544.800
550,50.0,109.4,452.8,784.8,76,I-2-22-0,PROSEDUR SEDANG PADA PEMBULUH DARAH,2.967.500
550,50.0,109.4,452.8,784.8,7,I-2-23-0,PROSEDUR KECIL PADA PEMBULUH DARAH,797.000
550,50.0,109.4,452.8,784.8,78,I-2-31-0,PEMASANGAN ATAU PENGGANTIAN ALAT DEFIBRILATOR JANTUNG,7.883.800
550,50.0,109.4,452.8,784.8,79,I-2-32-0,PEMASANGAN ATAU PENGGANTIAN ALAT PACU JANTUNG,7.137.100
551,50.0,102.5,452.8,786.3,80,I-2-41-0,PROSEDUR ELEKTROFISIOLOGIK,4.785.400
551,50.0,102.5,452.8,786.3,81,I-2-42-0,PROSEDUR ANGIOPLASTI PEMBULUH DARAH KORONER DAN KARDIOVASKULAR PERKUTAN LAIN,4.562.100
